date,city,weekdays,high_temp,low_temp,weather,w_direct,w_force
2012/4/7,北京,星期六,26,10,晴,微风,小于3级
2012/4/8,北京,星期日,27,9,晴,微风,小于3级
2012/4/9,北京,星期一,26,10,晴,微风,小于3级
2012/4/10,北京,星期二,26,10,晴,微风,小于3级
2012/4/11,北京,星期三,24,12,晴,微风,小于3级
2012/4/12,北京,星期四,26,10,晴,微风,小于3级
2012/4/13,北京,星期五,28,11,晴,微风,小于3级
2012/4/14,北京,星期六,28,14,晴~多云,微风~南风,小于3级~3-4级
2012/4/15,北京,星期日,23,9,多云~阴,微风~北风,小于3级~4-5级
2012/4/16,北京,星期一,28,10,晴,北风~微风,4-5级~小于3级
2012/4/17,北京,星期二,25,14,晴,微风,小于3级
2012/4/18,北京,星期三,23,14,多云~阴,南风,3-4级
2012/4/19,北京,星期四,23,12,阵雨,微风,小于3级
2012/4/20,北京,星期五,19,11,雷阵雨~多云,微风,小于3级
2012/4/21,北京,星期六,24,11,阵雨~小雨,微风,小于3级
2012/4/22,北京,星期日,25,14,雾~多云,微风,小于3级
2012/4/23,北京,星期一,20,14,多云~阴,微风,小于3级
2016/4/24,广州,星期日,25,22,暴风雨~中到大雨,微风,小于3级
2012/4/25,北京,星期三,24,6,小雨~晴,北风,3-4级~4-5级
2012/4/26,北京,星期四,23,13,晴~多云,北风~微风,3-4级~小于3级
2012/4/27,北京,星期五,22,12,多云~晴,北风,3-4级~4-5级
2012/4/28,北京,星期六,21,10,晴~多云,北风~微风,4-5级~小于3级
2012/4/29,北京,星期日,24,12,晴~多云,微风,小于3级
2012/4/30,北京,星期一,22,16,浮尘,微风,小于3级
2012/5/1,北京,星期二,30,14,阵雨~阴,微风,小于3级
2012/5/2,北京,星期三,30,16,晴,微风,小于3级
2012/5/3,北京,星期四,31,16,晴,微风,小于3级
2012/5/4,北京,星期五,32,18,晴~多云,微风,小于3级
2012/5/5,北京,星期六,31,17,多云~晴,微风,小于3级
2012/5/6,北京,星期日,31,15,晴,微风,小于3级
2012/5/7,北京,星期一,28,18,多云~阴,微风,小于3级
2012/5/8,北京,星期二,30,17,阴~晴,微风,小于3级
2012/5/9,北京,星期三,29,16,晴~阴,微风,小于3级
2012/5/10,北京,星期四,30,17,阴~多云,微风,小于3级
2012/5/11,北京,星期五,23,18,阵雨,微风,小于3级
2012/5/12,北京,星期六,25,16,中雨~阴,微风,小于3级
2012/5/13,北京,星期日,27,12,晴~阴,微风,小于3级
2012/5/14,北京,星期一,25,15,多云~晴,微风~北风,小于3级~4-5级
